nbits,time_avg,time_std,variables_avg,variables_std,clauses_avg,clauses_std
10.0,0.008158433437347411,0.005875517170260736,946.4,0.9403246919632788,2912.8,1.8806493839265295
11.0,0.019326746463775635,0.011304007789945334,1128.3,0.978720969859229,3489.6,1.957441939718458
12.0,0.036912286281585695,0.03168017397119062,1326.0,1.0259783520850996,4118.0,2.051956704170153
13.0,0.07902626991271973,0.054793561642501515,1540.5,0.8885233166386536,4800.0,1.7770466332772132
14.0,0.16074085235595703,0.11604296253830589,1770.1,1.0208355710680648,5532.2,2.0416711421358165
15.0,0.3359657049179077,0.3877289689340912,2016.6,0.8207826816681205,6318.2,1.6415653633363563
16.0,0.7894749760627746,0.7053986232010477,2278.5,0.8885233166386677,7155.0,1.7770466332773354
17.0,1.9046273350715637,1.1645335146724982,2556.2,1.0052493799000455,8043.4,2.010498759800091
18.0,4.901283431053161,3.3926097962245017,2850.4,0.9403246919632358,8984.8,1.8806493839263296
19.0,10.13924881219864,7.854191029053269,3160.4,0.9403246919632549,9977.8,1.8806493839264893
20.0,23.703378975391388,20.521527533037123,3486.0,1.0259783520851726,11022.0,2.051956704170824
